49,3,9,6,0,29,31,60,0.0083,0.4833,10,0.4716,0.4716,11.4,0.0117,0.0117,-1.4
50,3,10,15,1,94,82,176,0.006,0.5341,11.73,0.5036,0.5036,11.3,0.0305,0.0305,0.43
51,3,11,14,0,87,95,182,0.005,0.478,13,0.4908,0.4908,11.87,-0.0128,-0.0128,1.13
52,3,12,16,1,105,108,213,0.0075,0.493,13.31,0.5113,0.5113,12.06,-0.0183,-0.0183,1.25
53,3,13,17,2*,125,142,267,0.0053,0.4682,15.71,0.4889,0.4889,12.65,-0.0207,-0.0207,3.06
54,3,14,14,2,91,91,182,0.0043,0.5,13,0.4865,0.4865,12.44,0.0135,0.0135,0.56
55,3,15,17,2*,101,99,200,0.0047,0.505,11.76,0.4831,0.4831,12.17,0.0219,0.0219,-0.41
56,3,16,18,1,103,116,219,0.0072,0.4703,12.17,0.4841,0.4841,13.21,-0.0138,-0.0138,-1.04
57,3,17,17,1,114,134,248,0.0047,0.4597,14.59,0.4916,0.4916,13.75,-0.0319,-0.0319,0.84
58,3,18,16,0,92,107,199,0.0063,0.4623,12.44,0.4868,0.4868,13.33,-0.0245,-0.0245,-0.89
59,3,19,20,0,128,158,286,0.006,0.4476,14.3,0.4784,0.4784,13.2,-0.0308,-0.0308,1.1
60,3,20,21,1,155,147,302,0.0043,0.5132,14.38,0.4895,0.4895,13.37,0.0237,0.0237,1.01
61,4,1,16,1,120,119,239,0.0069,0.5021,14.94,0.4808,0.4808,13.17,0.0213,0.0213,1.77
62,4,2,16,1,95,108,203,0.0069,0.468,12.69,0.4959,0.4959,12.62,-0.0279,-0.0279,0.07
63,4,3,13,0,71,60,131,0.0069,0.542,10.08,0.477,0.477,11.49,0.065,0.065,-1.41
64,4,4,16,1,89,107,196,0.0069,0.4541,12.25,0.4845,0.4845,12.94,-0.0304,-0.0304,-0.69
65,4,5,15,1,87,117,204,0.0073,0.4265,13.6,0.4725,0.4725,13.07,-0.046,-0.046,0.53
66,4,6,16,0,124,113,237,0.005,0.5232,14.81,0.475,0.475,13.81,0.0482,0.0482,1
67,4,7,15,0,114,108,222,0.0047,0.5135,14.8,0.475,0.475,14.38,0.0385,0.0385,0.42
68,4,8,16,2*,100,96,196,0.005,0.5102,12.25,0.4819,0.4819,11.81,0.0283,0.0283,0.44
69,4,9,18,1,101,106,207,0.0061,0.4879,11.5,0.4716,0.4716,11.4,0.0163,0.0163,0.1
70,4,10,17,1,99,90,189,0.0047,0.5238,11.12,0.5036,0.5036,11.3,0.0202,0.0202,-0.18
71,4,11,16,0,93,102,195,0.0056,0.4769,12.19,0.4908,0.4908,11.87,-0.0139,-0.0139,0.32
72,4,12,15,1,80,84,164,0.0027,0.4878,10.93,0.5113,0.5113,12.06,-0.0235,-0.0235,-1.13
73,4,13,15,0,105,97,202,0.0047,0.5198,13.47,0.4889,0.4889,12.65,0.0309,0.0309,0.82
74,4,14,14,1,67,73,140,0.0064,0.4786,10,0.4865,0.4865,12.44,-0.0079,-0.0079,-2.44
75,4,15,16,0,114,106,220,0.0056,0.5182,13.75,0.4831,0.4831,12.17,0.0351,0.0351,1.58
76,4,16,17,1,120,108,228,0.0047,0.5263,13.41,0.4841,0.4841,13.21,0.0422,0.0422,0.2
77,4,17,16,1,96,97,193,0.0075,0.4974,12.06,0.4916,0.4916,13.75,0.0058,0.0058,-1.69
78,4,18,16,1,102,129,231,0.0069,0.4416,14.44,0.4868,0.4868,13.33,-0.0452,-0.0452,1.11
79,4,19,17,2*,100,117,217,0.0071,0.4608,12.76,0.4784,0.4784,13.2,-0.0176,-0.0176,-0.44
80,4,20,18,1,121,121,242,0.0061,0.5,13.44,0.4895,0.4895,13.37,0.0105,0.0105,0.07
81,5,1,17,1,119,116,235,0.0053,0.5064,13.82,0.4808,0.4808,13.17,0.0256,0.0256,0.65
82,5,2,19,2*,122,129,251,0.0074,0.4861,13.21,0.4959,0.4959,12.62,-0.0098,-0.0098,0.59
83,5,3,14,1,91,81,172,0.0043,0.5291,12.29,0.477,0.477,11.49,0.0521,0.0521,0.8
84,5,4,17,1,99,125,224,0.0082,0.442,13.18,0.4845,0.4845,12.94,-0.0425,-0.0425,0.24
85,5,5,15,0,132,125,257,0.006,0.5136,17.13,0.4725,0.4725,13.07,0.0411,0.0411,4.06
86,5,6,17,2,104,116,220,0.0065,0.4727,12.94,0.475,0.475,13.81,-0.0023,-0.0023,-0.87
87,5,7,16,1,103,110,213,0.0063,0.4836,13.31,0.475,0.475,14.38,0.0086,0.0086,-1.07
88,5,8,16,1,86,90,176,0.0038,0.4886,11,0.4819,0.4819,11.81,0.0067,0.0067,-0.81
89,5,9,16,1,99,100,199,0.0056,0.4975,12.44,0.4716,0.4716,11.4,0.0259,0.0259,1.04
90,5,10,15,1,87,99,186,0.0067,0.4677,12.4,0.5036,0.5036,11.3,-0.0359,-0.0359,1.1
91,5,11,16,1,121,94,215,0.0056,0.5628,13.44,0.4908,0.4908,11.87,0.072,0.072,1.57
92,5,12,16,1*,105,76,181,0.0063,0.5801,11.31,0.5113,0.5113,12.06,0.0688,0.0688,-0.75
93,5,13,15,0,96,95,191,0.0053,0.5026,12.73,0.4889,0.4889,12.65,0.0137,0.0137,0.08
94,5,14,13,0,73,77,150,0.0054,0.4867,11.54,0.4865,0.4865,12.44,0.0002,0.0002,-0.9
95,5,15,16,1,85,126,211,0.0063,0.4028,13.19,0.4831,0.4831,12.17,-0.0803,-0.0803,1.02
96,5,16,17,1,108,130,238,0.0059,0.4538,14,0.4841,0.4841,13.21,-0.0303,-0.0303,0.79
97,5,17,14,0,97,97,194,0.0043,0.5,13.86,0.4916,0.4916,13.75,0.0084,0.0084,0.11
98,5,18,15,0,117,110,227,0.0073,0.5154,15.13,0.4868,0.4868,13.33,0.0286,0.0286,1.8
99,5,19,16,0,107,128,235,0.005,0.4553,14.69,0.4784,0.4784,13.2,-0.0231,-0.0231,1.49
100,5,20,16,1,117,121,238,0.005,0.4916,14.88,0.4895,0.4895,13.37,0.0021,0.0021,1.51
101,6,1,16,0,96,105,201,0.0056,0.4776,12.56,0.4808,0.4808,13.17,-0.0032,-0.0032,-0.61
102,6,2,17,1,102,106,208,0.0047,0.4904,12.24,0.4959,0.4959,12.62,-0.0055,-0.0055,-0.38
103,6,3,15,1,72,77,149,0.0027,0.4832,9.93,0.477,0.477,11.49,0.0062,0.0062,-1.56
104,6,4,16,1,85,87,172,0.0075,0.4942,10.75,0.4845,0.4845,12.94,0.0097,0.0097,-2.19
105,6,5,16,1,109,108,217,0.0069,0.5023,13.56,0.4725,0.4725,13.07,0.0298,0.0298,0.49
106,6,6,15,0,123,101,224,0.004,0.5491,14.93,0.475,0.475,13.81,0.0741,0.0741,1.12
107,6,7,15,0,102,118,220,0.006,0.4636,14.67,0.475,0.475,14.38,-0.0114,-0.0114,0.29
108,6,8,15,1,75,80,155,0.004,0.4839,10.33,0.4819,0.4819,11.81,0.002,0.002,-1.48
109,6,9,16,1*,79,91,170,0.0056,0.4647,10.63,0.4716,0.4716,11.4,-0.0069,-0.0069,-0.77
110,6,10,16,0,105,102,207,0.0056,0.5072,12.94,0.5036,0.5036,11.3,0.0036,0.0036,1.64
111,6,11,17,1,101,120,221,0.0065,0.457,13,0.4908,0.4908,11.87,-0.0338,-0.0338,1.13
112,6,12,16,0,101,102,203,0.0069,0.4975,12.69,0.5113,0.5113,12.06,-0.0138,-0.0138,0.63
113,6,13,16,0,101,124,225,0.0044,0.4489,14.06,0.4889,0.4889,12.65,-0.04,-0.04,1.41
114,6,14,14,1,76,85,161,0.0043,0.472,11.5,0.4865,0.4865,12.44,-0.0145,-0.0145,-0.94
115,6,15,15,0,109,101,210,0.0053,0.519,14,0.4831,0.4831,12.17,0.0359,0.0359,1.83
116,6,16,17,1,108,119,227,0.0071,0.4758,13.35,0.4841,0.4841,13.21,-0.0083,-0.0083,0.14
117,6,17,17,2*,123,109,232,0.0065,0.5302,13.65,0.4916,0.4916,13.75,0.0386,0.0386,-0.1
118,6,18,17,1,84,105,189,0.0053,0.4444,11.12,0.4868,0.4868,13.33,-0.0424,-0.0424,-2.21
